2021-06-27 21:06:689 INFO  ComputerPage :36 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (85aa84d64c88d825a3773188af161383)] -> xpath: //select[@id='products-orderby']]
2021-06-27 21:06:736 INFO  ComputerPage :41 - Get list of products : [[[ChromeDriver: chrome on WINDOWS (85aa84d64c88d825a3773188af161383)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (85aa84d64c88d825a3773188af161383)] -> xpath: //h2[@class='product-title']], [[ChromeDriver: chrome on WINDOWS (85aa84d64c88d825a3773188af161383)] -> xpath: //h2[@class='product-title']]]
2021-06-27 21:06:127 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:248 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (39b8f61e6ca268ee78dff2f40f3fe642)] -> link text: Computers]
2021-06-27 21:06:446 INFO  ComputerPage :28 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (39b8f61e6ca268ee78dff2f40f3fe642)] -> link text: Desktops]
2021-06-27 21:06:50 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:158 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (fd20cccada8e5fe861fbdaaed76f8d5b)] -> link text: Computers]
2021-06-27 21:06:390 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (fd20cccada8e5fe861fbdaaed76f8d5b)] -> link text: Desktops]
2021-06-27 21:06:179 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:379 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> link text: Computers]
2021-06-27 21:06:848 INFO  ComputerPage :29 - Clicking on desktops link : [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> link text: Desktops]
2021-06-27 21:06:184 INFO  ComputerPage :37 - Select position from drop down :[[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //select[@name='products-orderby']]
2021-06-27 21:06:325 INFO  BuildYourOwnComputerPage :51 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //div[@class='item-box'][1]//button[text()='Add to cart']]
